timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/06/15 22:21:33.958, 1163 MiB, 2800 MiB, 9 %
2026/06/15 22:21:38.969, 1175 MiB, 2788 MiB, 30 %
2026/06/15 22:21:43.973, 1175 MiB, 2788 MiB, 31 %
2026/06/15 22:21:48.985, 1180 MiB, 2783 MiB, 36 %
2026/06/15 22:21:53.995, 1180 MiB, 2783 MiB, 17 %
2026/06/15 22:21:59.010, 1180 MiB, 2783 MiB, 18 %
2026/06/15 22:22:04.025, 1179 MiB, 2784 MiB, 64 %
2026/06/15 22:22:09.039, 1179 MiB, 2784 MiB, 0 %
2026/06/15 22:22:14.047, 1180 MiB, 2783 MiB, 5 %
2026/06/15 22:22:19.053, 1180 MiB, 2783 MiB, 99 %
2026/06/15 22:22:24.064, 1180 MiB, 2783 MiB, 2 %
2026/06/15 22:22:29.077, 1182 MiB, 2781 MiB, 0 %
2026/06/15 22:22:34.088, 1184 MiB, 2779 MiB, 2 %
2026/06/15 22:22:39.091, 1184 MiB, 2779 MiB, 1 %
2026/06/15 22:22:44.100, 1185 MiB, 2778 MiB, 8 %
2026/06/15 22:22:49.113, 1186 MiB, 2777 MiB, 13 %
2026/06/15 22:22:54.126, 1221 MiB, 2742 MiB, 82 %
2026/06/15 22:22:59.135, 1221 MiB, 2742 MiB, 0 %
2026/06/15 22:23:04.142, 1222 MiB, 2741 MiB, 0 %
2026/06/15 22:23:09.145, 1222 MiB, 2741 MiB, 0 %
2026/06/15 22:23:14.156, 1230 MiB, 2733 MiB, 12 %
2026/06/15 22:23:19.160, 1230 MiB, 2733 MiB, 12 %
2026/06/15 22:23:24.172, 1230 MiB, 2733 MiB, 14 %
2026/06/15 22:23:29.175, 1231 MiB, 2732 MiB, 6 %
2026/06/15 22:23:34.182, 1077 MiB, 2886 MiB, 25 %
2026/06/15 22:23:39.185, 1077 MiB, 2886 MiB, 0 %
2026/06/15 22:23:44.198, 1081 MiB, 2882 MiB, 9 %
2026/06/15 22:23:49.208, 1081 MiB, 2882 MiB, 94 %
2026/06/15 22:23:54.213, 1081 MiB, 2882 MiB, 6 %
2026/06/15 22:23:59.225, 1081 MiB, 2882 MiB, 19 %
2026/06/15 22:24:04.230, 1081 MiB, 2882 MiB, 2 %
2026/06/15 22:24:09.244, 1081 MiB, 2882 MiB, 6 %
2026/06/15 22:24:14.254, 1081 MiB, 2882 MiB, 10 %
2026/06/15 22:24:19.258, 1081 MiB, 2882 MiB, 9 %
2026/06/15 22:24:24.266, 1081 MiB, 2882 MiB, 33 %
2026/06/15 22:24:29.267, 1081 MiB, 2882 MiB, 2 %
2026/06/15 22:24:34.272, 1081 MiB, 2882 MiB, 4 %
2026/06/15 22:24:39.285, 1114 MiB, 2849 MiB, 0 %
2026/06/15 22:24:44.296, 1114 MiB, 2849 MiB, 10 %
2026/06/15 22:24:49.300, 1118 MiB, 2845 MiB, 0 %
2026/06/15 22:24:54.317, 1118 MiB, 2845 MiB, 0 %
2026/06/15 22:24:59.332, 1118 MiB, 2845 MiB, 0 %
2026/06/15 22:25:04.337, 1114 MiB, 2849 MiB, 2 %
2026/06/15 22:25:09.342, 1116 MiB, 2847 MiB, 5 %
2026/06/15 22:25:14.350, 1116 MiB, 2847 MiB, 21 %
2026/06/15 22:25:19.355, 1116 MiB, 2847 MiB, 5 %
2026/06/15 22:25:24.356, 1116 MiB, 2847 MiB, 29 %
2026/06/15 22:25:29.372, 1114 MiB, 2849 MiB, 6 %
2026/06/15 22:25:34.375, 1114 MiB, 2849 MiB, 3 %
2026/06/15 22:25:39.390, 1114 MiB, 2849 MiB, 2 %
